Declaration Type,Declaration Date,State,Disaster Type
Disaster,9/22/1970,CO,Flood
Disaster,9/22/1970,CO,Flood
Disaster,9/22/1970,CO,Flood
Disaster,9/22/1970,CO,Flood
Disaster,9/22/1970,CO,Flood
Disaster,9/22/1970,CO,Flood
Disaster,9/22/1970,CO,Flood
Disaster,9/22/1970,CO,Flood
Disaster,9/22/1970,CO,Flood
Disaster,9/22/1970,CO,Flood
Disaster,9/22/1970,CO,Flood
Disaster,9/22/1970,CO,Flood
Disaster,9/22/1970,AZ,Flood
Disaster,9/22/1970,AZ,Flood
Disaster,9/22/1970,AZ,Flood
Disaster,9/22/1970,AZ,Flood
Disaster,9/22/1970,AZ,Flood
Disaster,9/22/1970,AZ,Flood
Disaster,9/29/1970,CA,Fire
Disaster,9/29/1970,CA,Fire
Disaster,9/29/1970,CA,Fire
Disaster,9/29/1970,CA,Fire
Disaster,9/29/1970,CA,Fire
Disaster,9/29/1970,CA,Fire
Disaster,10/14/1970,OK,Storm
Disaster,10/14/1970,OK,Storm
Disaster,10/14/1970,OK,Storm
Disaster,10/14/1970,OK,Storm
Disaster,10/14/1970,OK,Storm
Disaster,10/14/1970,OK,Storm
Disaster,10/14/1970,OK,Storm
Disaster,10/14/1970,OK,Storm
Disaster,10/14/1970,OK,Storm
Disaster,10/14/1970,OK,Storm
Disaster,10/14/1970,OK,Storm
Disaster,10/14/1970,OK,Storm
Disaster,10/14/1970,OK,Storm
Disaster,10/14/1970,OK,Storm
Disaster,10/14/1970,OK,Storm
Disaster,2/9/1971,CA,Earthquake
Disaster,2/9/1971,WA,Flood
Disaster,2/9/1971,WA,Flood
Disaster,2/9/1971,WA,Flood
Disaster,2/9/1971,WA,Flood
Disaster,2/9/1971,WA,Flood
Disaster,2/9/1971,WA,Flood
Disaster,2/9/1971,WA,Flood
Disaster,2/13/1971,OR,Flood
Disaster,2/13/1971,OR,Flood
Disaster,2/22/1971,MS,Tornado
Disaster,2/22/1971,MS,Tornado
Disaster,2/22/1971,MS,Tornado
Disaster,2/22/1971,MS,Tornado
Disaster,2/22/1971,MS,Tornado
Disaster,2/22/1971,MS,Tornado
Disaster,2/22/1971,MS,Tornado
Disaster,2/22/1971,MS,Tornado
Disaster,2/22/1971,MS,Tornado
Disaster,2/22/1971,MS,Tornado
Disaster,2/22/1971,MS,Tornado
Disaster,2/22/1971,MS,Tornado
Disaster,2/22/1971,MS,Tornado
Disaster,2/22/1971,MS,Tornado
Disaster,2/22/1971,MS,Tornado
Disaster,2/22/1971,MS,Tornado
Disaster,2/22/1971,MS,Tornado
Disaster,2/22/1971,MS,Tornado
Disaster,2/22/1971,MS,Tornado
Disaster,2/22/1971,MS,Tornado
Disaster,2/22/1971,MS,Tornado
Disaster,2/22/1971,MS,Tornado
Disaster,2/22/1971,MS,Tornado
Disaster,3/15/1971,FL,Winter
Disaster,3/15/1971,FL,Winter
Disaster,3/15/1971,FL,Winter
Disaster,3/15/1971,FL,Winter
Disaster,3/15/1971,FL,Winter
Disaster,3/15/1971,FL,Winter
Disaster,5/10/1971,KY,Tornado
Disaster,5/10/1971,KY,Tornado
Disaster,5/10/1971,KY,Tornado
Disaster,5/10/1971,KY,Tornado
Disaster,5/10/1971,KY,Tornado
Disaster,5/10/1971,KY,Tornado
Disaster,5/10/1971,KY,Tornado
Disaster,5/10/1971,KY,Tornado
Disaster,5/18/1971,TN,Tornado
Disaster,5/18/1971,TN,Tornado
Disaster,5/18/1971,TN,Tornado
Disaster,8/17/1971,MD,Flood
Disaster,8/17/1971,MD,Flood
Disaster,8/17/1971,MD,Flood
Disaster,8/17/1971,MD,Flood
Disaster,8/17/1971,MD,Flood
Disaster,8/17/1971,MD,Flood
Disaster,8/17/1971,MD,Flood
Disaster,8/17/1971,MD,Flood
Disaster,8/17/1971,MD,Flood
Disaster,9/4/1971,NJ,Flood
Disaster,9/4/1971,NJ,Flood
Disaster,9/4/1971,NJ,Flood
Disaster,9/4/1971,NJ,Flood
Disaster,9/4/1971,NJ,Flood
Disaster,9/4/1971,NJ,Flood
Disaster,9/4/1971,NJ,Flood
Disaster,9/4/1971,NJ,Flood
Disaster,9/4/1971,NJ,Flood
Disaster,9/4/1971,NJ,Flood
Disaster,9/4/1971,NJ,Flood
Disaster,9/4/1971,NJ,Flood
Disaster,9/4/1971,NJ,Flood
Disaster,9/4/1971,NJ,Flood
Disaster,9/4/1971,NJ,Flood
Disaster,9/4/1971,NJ,Flood
Disaster,9/4/1971,NJ,Flood
Disaster,9/4/1971,NJ,Flood
Disaster,9/4/1971,NJ,Flood
Disaster,9/4/1971,NJ,Flood
Disaster,9/4/1971,NJ,Flood
Disaster,9/13/1971,NY,Flood
Disaster,9/13/1971,NY,Flood
Disaster,9/13/1971,NY,Flood
Disaster,9/13/1971,NY,Flood
Disaster,9/13/1971,NY,Flood
Disaster,9/13/1971,NY,Flood
Disaster,9/13/1971,NY,Flood
Disaster,9/13/1971,NY,Flood
Disaster,9/13/1971,NY,Flood
Disaster,9/13/1971,NY,Flood
Disaster,9/13/1971,NY,Flood
Disaster,9/13/1971,NY,Flood
Disaster,9/13/1971,NY,Flood
Disaster,9/18/1971,PA,Flood
Disaster,9/18/1971,PA,Flood
Disaster,9/18/1971,PA,Flood
Disaster,9/18/1971,PA,Flood
Disaster,9/18/1971,PA,Flood
Disaster,9/18/1971,PA,Flood
Disaster,9/18/1971,PA,Flood
Disaster,9/18/1971,TX,Flood
Disaster,9/18/1971,TX,Flood
Disaster,9/18/1971,TX,Flood
Disaster,9/18/1971,TX,Flood
Disaster,9/18/1971,TX,Flood
Disaster,9/18/1971,TX,Flood
Disaster,9/18/1971,TX,Flood
Disaster,9/18/1971,TX,Flood
Disaster,9/18/1971,TX,Flood
Disaster,9/18/1971,TX,Flood
Disaster,9/18/1971,TX,Flood
Disaster,9/18/1971,TX,Flood
Disaster,9/18/1971,TX,Flood
Disaster,9/18/1971,TX,Flood
Disaster,9/18/1971,TX,Flood
Disaster,9/28/1971,OK,Flood
Disaster,9/28/1971,OK,Flood
Disaster,9/28/1971,OK,Flood
Disaster,9/28/1971,OK,Flood
Disaster,9/28/1971,OK,Flood
Disaster,9/28/1971,OK,Flood
Disaster,10/13/1971,LA,Hurricane
Disaster,10/13/1971,LA,Hurricane
Disaster,10/13/1971,LA,Hurricane
Disaster,10/13/1971,LA,Hurricane
Disaster,10/13/1971,LA,Hurricane
Disaster,10/13/1971,LA,Hurricane
Disaster,10/13/1971,LA,Hurricane
Disaster,10/13/1971,LA,Hurricane
Disaster,10/13/1971,LA,Hurricane
Disaster,10/13/1971,LA,Hurricane
Disaster,10/13/1971,LA,Hurricane
Disaster,10/13/1971,LA,Hurricane
Disaster,10/13/1971,LA,Hurricane
Disaster,10/13/1971,LA,Hurricane
Disaster,10/13/1971,LA,Hurricane
Disaster,10/13/1971,LA,Hurricane
Disaster,10/13/1971,LA,Hurricane
Disaster,10/13/1971,LA,Hurricane
Disaster,10/13/1971,LA,Hurricane
Disaster,10/13/1971,LA,Hurricane
Disaster,10/13/1971,LA,Hurricane
Disaster,1/11/1972,CA,Flood
Disaster,1/14/1972,OK,Flood
Disaster,1/14/1972,OK,Flood
Disaster,1/14/1972,OK,Flood
Disaster,1/14/1972,OK,Flood
Disaster,1/14/1972,OK,Flood
Disaster,1/14/1972,OK,Flood
Disaster,1/14/1972,OK,Flood
Disaster,1/14/1972,OK,Flood
Disaster,1/14/1972,OK,Flood
Disaster,1/14/1972,OK,Flood
Disaster,1/14/1972,OK,Flood
Disaster,1/14/1972,OK,Flood
Disaster,1/19/1972,MS,Flood
Disaster,1/19/1972,MS,Flood
Disaster,1/19/1972,MS,Flood
Disaster,1/19/1972,MS,Flood
Disaster,1/19/1972,MS,Flood
Disaster,1/19/1972,MS,Flood
Disaster,1/19/1972,MS,Flood
Disaster,1/19/1972,MS,Flood
Disaster,1/19/1972,MS,Flood
Disaster,1/21/1972,OR,Flood
Disaster,1/21/1972,OR,Flood
Disaster,1/21/1972,OR,Flood
Disaster,1/21/1972,OR,Flood
Disaster,1/21/1972,OR,Flood
Disaster,1/21/1972,OR,Flood
Disaster,1/21/1972,OR,Flood
Disaster,1/21/1972,OR,Flood
Disaster,1/21/1972,OR,Flood
Disaster,1/21/1972,OR,Flood
Disaster,1/27/1972,TX,Flood
Disaster,1/27/1972,TX,Flood
Disaster,1/27/1972,TX,Flood
Disaster,1/27/1972,TX,Flood
Disaster,1/27/1972,TX,Flood
Disaster,1/27/1972,TX,Flood
Disaster,1/27/1972,AR,Flood
Disaster,1/27/1972,AR,Flood
Disaster,1/27/1972,AR,Flood
Disaster,1/27/1972,AR,Flood
Disaster,1/27/1972,AR,Flood
Disaster,1/27/1972,AR,Flood
Disaster,1/27/1972,AR,Flood
Disaster,1/27/1972,AR,Flood
Disaster,1/27/1972,AR,Flood
Disaster,1/27/1972,AR,Flood
Disaster,1/27/1972,AR,Flood
Disaster,1/27/1972,AR,Flood
Disaster,1/27/1972,AR,Flood
Disaster,1/27/1972,AR,Flood
Disaster,1/27/1972,AR,Flood
Disaster,1/27/1972,AR,Flood
Disaster,1/27/1972,AR,Flood
Disaster,1/27/1972,AR,Flood
Disaster,1/27/1972,AR,Flood
Disaster,1/27/1972,AR,Flood
Disaster,1/27/1972,AR,Flood
Disaster,1/27/1972,AR,Flood
Disaster,1/27/1972,AR,Flood
Disaster,1/27/1972,AR,Flood
Disaster,1/27/1972,AR,Flood
Disaster,1/27/1972,AR,Flood
Disaster,1/27/1972,AR,Flood
Disaster,2/1/1972,WA,Flood
Disaster,2/1/1972,WA,Flood
Disaster,2/1/1972,WA,Flood
Disaster,2/1/1972,WA,Flood
Disaster,2/1/1972,WA,Flood
Disaster,2/1/1972,WA,Flood
Disaster,2/1/1972,WA,Flood
Disaster,2/1/1972,WA,Flood
Disaster,2/1/1972,WA,Flood
Disaster,2/27/1972,WV,Flood
Disaster,2/27/1972,WV,Flood
Disaster,2/27/1972,WV,Flood
Disaster,2/27/1972,WV,Flood
Disaster,2/27/1972,WV,Flood
Disaster,2/27/1972,WV,Flood
Disaster,2/27/1972,WV,Flood
Disaster,3/2/1972,ID,Flood
Disaster,3/6/1972,MA,Flood
Disaster,3/6/1972,MA,Flood
Disaster,3/6/1972,MA,Flood
Disaster,3/6/1972,MA,Flood
Disaster,3/7/1972,ME,Flood
Disaster,3/7/1972,ME,Flood
Disaster,3/7/1972,ME,Flood
Disaster,3/7/1972,ME,Flood
Disaster,3/7/1972,ME,Flood
Disaster,3/7/1972,ME,Flood
Disaster,3/7/1972,ME,Flood
Disaster,3/18/1972,NH,Storm
Disaster,3/24/1972,WA,Flood
Disaster,3/24/1972,WA,Flood
Disaster,3/24/1972,WA,Flood
Disaster,4/5/1972,CA,Flood
Disaster,4/5/1972,CA,Flood
Disaster,4/5/1972,MI,Snow
Disaster,4/5/1972,MI,Snow
Disaster,4/5/1972,MI,Snow
Disaster,4/5/1972,MI,Snow
Disaster,4/5/1972,MI,Snow
Disaster,4/5/1972,MI,Snow
Disaster,4/5/1972,MI,Snow
Disaster,4/5/1972,MI,Snow
Disaster,4/5/1972,MI,Snow
Disaster,5/15/1972,TN,Flood
Disaster,5/15/1972,TN,Flood
Disaster,5/15/1972,TN,Flood
Disaster,5/15/1972,TN,Flood
Disaster,5/15/1972,KY,Flood
Disaster,5/15/1972,KY,Flood
Disaster,5/15/1972,KY,Flood
Disaster,5/15/1972,KY,Flood
Disaster,5/15/1972,KY,Flood
Disaster,5/15/1972,KY,Flood
Disaster,5/15/1972,KY,Flood
Disaster,5/15/1972,KY,Flood
Disaster,5/15/1972,KY,Flood
Disaster,5/15/1972,KY,Flood
Disaster,5/20/1972,TX,Flood
Disaster,5/20/1972,TX,Flood
Disaster,5/20/1972,TX,Flood
Disaster,5/20/1972,TX,Flood
Disaster,5/20/1972,TX,Flood
Disaster,5/20/1972,TX,Flood
Disaster,5/20/1972,TX,Flood
Disaster,6/10/1972,WA,Flood
Disaster,6/10/1972,WA,Flood
Disaster,6/10/1972,WA,Flood
Disaster,6/10/1972,ND,Flood
Disaster,6/10/1972,ND,Flood
Disaster,6/10/1972,ND,Flood
Disaster,6/10/1972,ND,Flood
Disaster,6/10/1972,ND,Flood
Disaster,6/10/1972,ND,Flood
Disaster,6/10/1972,ND,Flood
Disaster,6/10/1972,SD,Flood
Disaster,6/10/1972,SD,Flood
Disaster,6/10/1972,SD,Flood
Disaster,6/10/1972,SD,Flood
Disaster,6/23/1972,FL,Storm
Disaster,6/23/1972,FL,Storm
Disaster,6/23/1972,FL,Storm
Disaster,6/23/1972,FL,Storm
Disaster,6/23/1972,FL,Storm
Disaster,6/23/1972,FL,Storm
Disaster,6/23/1972,FL,Storm
Disaster,6/23/1972,FL,Storm
Disaster,6/23/1972,FL,Storm
Disaster,6/23/1972,FL,Storm
Disaster,6/23/1972,FL,Storm
Disaster,6/23/1972,FL,Storm
Disaster,6/23/1972,FL,Storm
Disaster,6/23/1972,FL,Storm
Disaster,6/23/1972,NY,Flood
Disaster,6/23/1972,NY,Flood
Disaster,6/23/1972,NY,Flood
Disaster,6/23/1972,NY,Flood
Disaster,6/23/1972,NY,Flood
Disaster,6/23/1972,NY,Flood
Disaster,6/23/1972,NY,Flood
Disaster,6/23/1972,NY,Flood
Disaster,6/23/1972,NY,Flood
Disaster,6/23/1972,NY,Flood
Disaster,6/23/1972,NY,Flood
Disaster,6/23/1972,NY,Flood
Disaster,6/23/1972,NY,Flood
Disaster,6/23/1972,NY,Flood
Disaster,6/23/1972,NY,Flood
Disaster,6/23/1972,NY,Flood
Disaster,6/23/1972,NY,Flood
Disaster,6/23/1972,NY,Flood
Disaster,6/23/1972,NY,Flood
Disaster,6/23/1972,NY,Flood
Disaster,6/23/1972,NY,Flood
Disaster,6/23/1972,NY,Flood
Disaster,6/23/1972,NY,Flood
Disaster,6/23/1972,NY,Flood
Disaster,6/23/1972,NY,Flood
Disaster,6/23/1972,NY,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,VA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,PA,Flood
Disaster,6/23/1972,MD,Flood
Disaster,6/23/1972,MD,Flood
Disaster,6/23/1972,MD,Flood
Disaster,6/23/1972,MD,Flood
Disaster,6/23/1972,MD,Flood
Disaster,6/23/1972,MD,Flood
Disaster,6/23/1972,MD,Flood
Disaster,6/23/1972,MD,Flood
Disaster,6/23/1972,MD,Flood
Disaster,6/23/1972,MD,Flood
Disaster,6/23/1972,MD,Flood
Disaster,6/23/1972,MD,Flood
Disaster,6/23/1972,MD,Flood
Disaster,6/23/1972,MD,Flood
Disaster,6/23/1972,MD,Flood
Disaster,6/23/1972,MD,Flood
Disaster,6/23/1972,MD,Flood
Disaster,6/23/1972,MD,Flood
Disaster,6/23/1972,MD,Flood
Disaster,6/23/1972,MD,Flood
Disaster,6/23/1972,MD,Flood
Disaster,6/27/1972,CA,Flood
Disaster,7/3/1972,AZ,Flood
Disaster,7/3/1972,AZ,Flood
Disaster,7/3/1972,AZ,Flood
Disaster,7/3/1972,WV,Flood
Disaster,7/3/1972,WV,Flood
Disaster,7/3/1972,WV,Flood
Disaster,7/3/1972,WV,Flood
Disaster,7/3/1972,WV,Flood
Disaster,7/3/1972,WV,Flood
Disaster,7/3/1972,WV,Flood
Disaster,7/3/1972,WV,Flood
Disaster,7/3/1972,WV,Flood
Disaster,7/3/1972,WV,Flood
Disaster,7/3/1972,WV,Flood
Disaster,7/3/1972,WV,Flood
Disaster,7/3/1972,WV,Flood
Disaster,7/3/1972,WV,Flood
Disaster,7/3/1972,WV,Flood
Disaster,7/19/1972,OH,Flood
Disaster,7/19/1972,OH,Flood
Disaster,7/19/1972,OH,Flood
Disaster,7/19/1972,OH,Flood
Disaster,7/19/1972,OH,Flood
Disaster,7/19/1972,OH,Flood
Disaster,7/19/1972,OH,Flood
Disaster,8/1/1972,NM,Flood
Disaster,8/1/1972,MN,Flood
Disaster,8/1/1972,MN,Flood
Disaster,8/1/1972,MN,Flood
Disaster,8/1/1972,MN,Flood
Disaster,8/1/1972,MN,Flood
Disaster,8/1/1972,MN,Flood
Disaster,8/1/1972,MN,Flood
Disaster,8/1/1972,MN,Flood
Disaster,8/1/1972,MN,Flood
Disaster,8/1/1972,MN,Flood
Disaster,8/1/1972,MN,Flood
Disaster,8/1/1972,MN,Flood
Disaster,8/1/1972,MN,Flood
Disaster,8/18/1972,IA,Flood
Disaster,8/18/1972,IA,Flood
Disaster,8/18/1972,IA,Flood
Disaster,8/18/1972,IA,Flood
Disaster,8/23/1972,WV,Flood
Disaster,8/23/1972,WV,Flood
Disaster,8/23/1972,WV,Flood
Disaster,8/23/1972,WV,Flood
Disaster,8/25/1972,MN,Flood
